Iteration,PowerStateChangeto,MacID,No of Attempts,Time at first unicast command sent,Time when State matched,Total time elapsed,Status
1,OFF,3030f9c92258,3,16:23:45,16:23:51,5.09s,SUCCESS
1,ON,3030f9c92258,1,16:23:53,16:23:53,0.15s,SUCCESS
2,OFF,3030f9c92258,1,16:23:55,16:23:55,0.37s,SUCCESS
2,ON,3030f9c92258,1,16:23:57,16:23:57,0.13s,SUCCESS
3,OFF,3030f9c92258,1,16:23:59,16:23:59,0.14s,SUCCESS
3,ON,3030f9c92258,1,16:24:01,16:24:02,0.26s,SUCCESS
4,OFF,3030f9c92258,5,16:24:04,16:24:14,10.10s,SUCCESS
4,ON,3030f9c92258,1,16:24:16,16:24:16,0.13s,SUCCESS
5,OFF,3030f9c92258,1,16:24:18,16:24:18,0.25s,SUCCESS
5,ON,3030f9c92258,1,16:24:20,16:24:21,0.55s,SUCCESS
6,OFF,3030f9c92258,1,16:24:23,16:24:23,0.08s,SUCCESS
6,ON,3030f9c92258,1,16:24:25,16:24:25,0.04s,SUCCESS
7,OFF,3030f9c92258,1,16:24:27,16:24:27,0.22s,SUCCESS
7,ON,3030f9c92258,1,16:24:29,16:24:29,0.25s,SUCCESS
8,OFF,3030f9c92258,1,16:24:31,16:24:31,0.07s,SUCCESS
8,ON,3030f9c92258,1,16:24:33,16:24:34,0.32s,SUCCESS
9,OFF,3030f9c92258,1,16:24:36,16:24:36,0.07s,SUCCESS
9,ON,3030f9c92258,1,16:24:38,16:24:38,0.06s,SUCCESS
10,OFF,3030f9c92258,1,16:24:40,16:24:40,0.11s,SUCCESS
10,ON,3030f9c92258,1,16:24:42,16:24:42,0.14s,SUCCESS
