Iteration,PowerStateChangeto,MacID,No of Attempts,Time at first unicast command sent,Time when State matched,Total time elapsed,Status
1,OFF,3030f9c92258,1,19:18:22,19:18:23,0.25s,SUCCESS
1,ON,3030f9c92258,1,19:18:25,19:18:25,0.24s,SUCCESS
2,OFF,3030f9c92258,1,19:18:27,19:18:27,0.15s,SUCCESS
2,ON,3030f9c92258,2,19:18:29,19:18:32,2.54s,SUCCESS
3,OFF,3030f9c92258,1,19:18:34,19:18:34,0.11s,SUCCESS
3,ON,3030f9c92258,1,19:18:36,19:18:36,0.15s,SUCCESS
4,OFF,3030f9c92258,1,19:18:38,19:18:38,0.35s,SUCCESS
4,ON,3030f9c92258,1,19:18:40,19:18:40,0.14s,SUCCESS
5,OFF,3030f9c92258,1,19:18:42,19:18:43,0.15s,SUCCESS
5,ON,3030f9c92258,1,19:18:45,19:18:45,0.14s,SUCCESS
6,OFF,3030f9c92258,1,19:18:47,19:18:47,0.18s,SUCCESS
6,ON,3030f9c92258,1,19:18:49,19:18:49,0.11s,SUCCESS
7,OFF,3030f9c92258,1,19:18:51,19:18:51,0.15s,SUCCESS
7,ON,3030f9c92258,1,19:18:53,19:18:53,0.15s,SUCCESS
8,OFF,3030f9c92258,1,19:18:55,19:18:55,0.15s,SUCCESS
8,ON,3030f9c92258,1,19:18:57,19:18:58,0.15s,SUCCESS
9,OFF,3030f9c92258,1,19:19:00,19:19:00,0.09s,SUCCESS
9,ON,3030f9c92258,1,19:19:02,19:19:02,0.10s,SUCCESS
10,OFF,3030f9c92258,1,19:19:04,19:19:04,0.15s,SUCCESS
10,ON,3030f9c92258,1,19:19:06,19:19:06,0.15s,SUCCESS
