Iteration,PowerStateChangeto,MacID,No of Attempts,Time at first unicast command sent,Time when State matched,Total time elapsed,Status
1,OFF,3030f9c92258,2,19:22:40,19:22:43,2.54s,SUCCESS
1,ON,3030f9c92258,1,19:22:45,19:22:45,0.21s,SUCCESS
1,OFF,ccba97b0cfc0,1,19:22:47,19:22:47,0.17s,SUCCESS
1,ON,ccba97b0cfc0,2,19:22:49,19:22:51,2.58s,SUCCESS
2,OFF,3030f9c92258,1,19:22:53,19:22:54,0.07s,SUCCESS
2,ON,3030f9c92258,1,19:22:56,19:22:56,0.05s,SUCCESS
2,OFF,ccba97b0cfc0,1,19:22:58,19:22:58,0.13s,SUCCESS
2,ON,ccba97b0cfc0,1,19:23:00,19:23:00,0.14s,SUCCESS
3,OFF,3030f9c92258,1,19:23:02,19:23:02,0.08s,SUCCESS
3,ON,3030f9c92258,1,19:23:04,19:23:04,0.11s,SUCCESS
3,OFF,ccba97b0cfc0,1,19:23:06,19:23:06,0.17s,SUCCESS
3,ON,ccba97b0cfc0,1,19:23:08,19:23:08,0.12s,SUCCESS
4,OFF,3030f9c92258,1,19:23:10,19:23:11,0.25s,SUCCESS
4,ON,3030f9c92258,1,19:23:13,19:23:13,0.07s,SUCCESS
4,OFF,ccba97b0cfc0,1,19:23:15,19:23:15,0.13s,SUCCESS
4,ON,ccba97b0cfc0,1,19:23:17,19:23:17,0.23s,SUCCESS
5,OFF,3030f9c92258,2,19:23:19,19:23:22,2.54s,SUCCESS
5,ON,3030f9c92258,1,19:23:24,19:23:24,0.11s,SUCCESS
5,OFF,ccba97b0cfc0,1,19:23:26,19:23:26,0.14s,SUCCESS
5,ON,ccba97b0cfc0,1,19:23:28,19:23:28,0.18s,SUCCESS
6,OFF,3030f9c92258,10,19:23:30,0,0,FAIL
6,ON,3030f9c92258,10,19:23:57,0,0,FAIL
6,OFF,ccba97b0cfc0,1,19:24:23,19:24:23,0.18s,SUCCESS
6,ON,ccba97b0cfc0,1,19:24:25,19:24:26,0.25s,SUCCESS
7,OFF,3030f9c92258,10,19:24:28,0,0,FAIL
7,ON,3030f9c92258,10,19:24:54,0,0,FAIL
7,OFF,ccba97b0cfc0,1,19:25:21,19:25:21,0.12s,SUCCESS
7,ON,ccba97b0cfc0,1,19:25:23,19:25:23,0.16s,SUCCESS
8,OFF,3030f9c92258,10,19:25:25,0,0,FAIL
8,ON,3030f9c92258,10,19:25:52,0,0,FAIL
8,OFF,ccba97b0cfc0,1,19:26:18,19:26:18,0.07s,SUCCESS
8,ON,ccba97b0cfc0,1,19:26:20,19:26:21,0.15s,SUCCESS
9,OFF,3030f9c92258,10,19:26:23,0,0,FAIL
9,ON,3030f9c92258,10,19:26:49,0,0,FAIL
9,OFF,ccba97b0cfc0,3,19:27:16,19:27:21,5.22s,SUCCESS
9,ON,ccba97b0cfc0,2,19:27:23,19:27:26,2.62s,SUCCESS
10,OFF,3030f9c92258,10,19:27:28,0,0,FAIL
10,ON,3030f9c92258,10,19:27:54,0,0,FAIL
10,OFF,ccba97b0cfc0,1,19:28:21,19:28:21,0.07s,SUCCESS
10,ON,ccba97b0cfc0,1,19:28:23,19:28:23,0.15s,SUCCESS
